word,category_id,sentiment
maintenance,2,neutral
major,none,neutral
mandate,1,None
mansions ,5,none
manuscript,3,None
marcoreconomic,1,None
market,1,none
marks,5,None
martketplace,5,None
masks,3,None
mass,1,neutral
Masterpiece,3,Positive
math,2,none
mathematics,2,none
mayoral,1,none
meal ,5,None 
meat,5,None
media,3,neutral
medical,4,None
Medicine ,4,None
meditating,4,None 
meditation,4,None
melatonin,4,None 
melodyverse,3,None
member,1,None
memory,2,none
mental-health,4,None 
menu,5,
meow,5,none
meowing,1,None
merge,2,None
messy,None,Negative
metabolic,4,None
metabolism,4,None
metaphor,3,
methods,2,None
metric,2,None
metrics ,2,None
micronutrients,4,none
microwave,5,None
migrant,1,None
miles,4,None
milk,5,None 
mind,4,None
mindful,4,None
mindset,4,none
Misleading,1,Negative
misled,1,negative
missinformation,1,None
missing_values,2,neutral
Mission-Impossible,3,None
mobility,4,none
modality,4,none
mold,5,negative
Money,1,None
monitor,4,neutral
mood,4,None
mop,5,None
moral,3,None
morning,4,none
mortgage,5,None
most,1,Positive
motivation,4,None
motor_function,4,None
movement,1,None
movie,3,none
movies,3,None
MUN,1,none
mundane,None,None
municipal,1,none
municipality,1,none
musical,3,None
musician,3,none
muzzle,5,None
napkins,5,None
narration,3,None
narrative,3,none
narrative ,3,None
nation,1,none
national,1,neutral
national ,1,none
Nausea,4,Negative
negate,3,Negative
negatively,3,Negative
negotiations,1,None
neighborhood,5,None
neighborhoods ,5,None
Netflix ,3,none
Network,2,None
neural_network,2,None
new,1,Positive
News,1,None
newscast,1,None
newspapers,1,None 
nodes,2,
noisy,3,none
nominated,3,None
nominee,1,none
noodles,5,None
normilization,2,none
nostalgic ,3,None
notebook,2,none
nourish,4,None
Novelist,3,Neutral
nuisance_factors,2,None
number,2,None
nutrients,4,None
nutritionists,4,none
ode,3,None
offered,4,None
official,1,neutral
officials,1,None
Oil,1,Negative
Olympian,4,neutral
ongoing,1,None
optimistic,None,Positive
optimized,2,None
oranges,5,None
orchestral,3,neutral
ordinance,1,none
organic,5,positive
organized,2,positive
orthopedics,4,none
